,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202410,001-S03,EDIB0009,A-100,EDIB0009,,,,,,OK
1,202410,001-S03,EDIB0009,B-100,PSIZ1440,,,,,,OK
2,202410,001-S03,EDIB0009,C-100,SIGE1345,,,,,,OK
3,202410,001-S03,EDIB0009,D-100,,A082,6,10,,,OK
4,202410,001-S03,FGHZ0960,,,,,,,,En Banner FGHZ0960 no se encontro
5,202410,001-S03,INGZ0333,A-100,INGZ0333,,,,,,OK
6,202410,001-S03,INGZ0333,B-100,INGZ3333,,,,,,OK
7,202410,001-S03,INGZ0333,C-100,INGZ0050,,,,,,OK
8,202410,001-S03,INGZ0333,D-100,INGZ0145,,,,,,OK
9,202410,001-S03,INGZ0333,E-100,,ENGC,4,6,,,OK
10,202410,001-S03,INGZ0333,F-100,,ENG,5,9,,,OK
11,202410,001-S03,INGZ0333,G-100,,,,,,I333,OK
12,202410,001-S03,INGZ0333,H-100,INGZ0330,,,,,,OK
13,202410,001-S03,PSIZ1220,A-100,PSIZ1220,,,,,,OK
14,202410,001-S03,PSIZ1220,B-100,SIGE2270,,,,,,OK
15,202410,001-S03,PSIZ1220,C-100,EDIB0001,,,,,,OK
16,202410,001-S03,PSIZ1772,A-100,PSIZ1770,,,,,,OK
17,202410,001-S03,PSIZ1772,B-100,PSIZ1772,,,,,,OK
18,202410,001-S03,PSIZ1772,C-100,,A032,6,10,,,OK
19,202410,001-S03,PSIZ1772,D-100,INVZ1040,,,,,,OK
20,202410,001-S04,INGZ0444,A-100,INGZ0444,,,,,,OK
21,202410,001-S04,INGZ0444,B-100,INGZ4444,,,,,,OK
22,202410,001-S04,INGZ0444,C-100,INGZ0145,,,,,,OK
23,202410,001-S04,INGZ0444,D-100,,ENGC,4,6,,,OK
24,202410,001-S04,INGZ0444,E-100,,ENG,6,9,,,OK
25,202410,001-S04,INGZ0444,F-100,INGZ0440,,,,,,OK
26,202410,001-S04,PSIC1111,A-100,PSIC1111,,,,,,OK
27,202410,001-S04,PSIC1111,B-100,NPSI1070,,,,,,OK
28,202410,001-S04,PSIC1773,A-100,PSIC1773,,,,,,OK
29,202410,001-S04,PSIC1773,B-100,EVSI2040,,,,,,OK
30,202410,001-S04,PSIC8004,A-100,PSIC8004,,,,,,OK
31,202410,001-S04,PSIC8004,B-100,PSIC2501,,,,,,OK
32,202410,001-S04,PSIZ1330,A-100,PSIZ1330,,,,,,OK
33,202410,001-S04,PSIZ1330,B-100,SISO1065,,,,,,OK
34,202410,001-S04,PSIZ9004,A-100,PSIZ2222,,,,,,OK
35,202410,001-S04,PSIZ9004,B-100,PSIZ9005,,,,,,OK
36,202410,001-S04,PSIZ9004,C-100,PSIZ9027,,,,,,OK
37,202410,001-S04,PSIZ9004,D-100,PSIZ2991,,,,,,OK
38,202410,001-S04,PSIZ9004,E-100,EDIB0003,,,,,,OK
39,202410,001-S05,FGHZ0961,,,,,,,,En Banner FGHZ0961 no se encontro
40,202410,001-S05,PSIC2801,A-100,PSIC2801,,,,,,OK
41,202410,001-S05,PSIC2801,B-100,TESI3050,,,,,,OK
42,202410,001-S05,PSIC8005,A-100,PSIC8005,,,,,,OK
43,202410,001-S05,PSIC8005,B-100,PSIC3301,,,,,,OK
44,202410,001-S05,PSIC8005,B-100,PSIC2441,,,,,,OK
45,202410,001-S05,PSIC8006,A-100,PSIC8006,,,,,,OK
46,202410,001-S05,PSIC8006,B-100,PSIC2881,,,,,,OK
47,202410,001-S05,PSIC8006,C-100,EVSI2070,,,,,,OK
48,202410,001-S05,PSIC8006,C-100,EVSI2010,,,,,,OK
49,202410,001-S05,PSIZ2331,A-100,PSIZ2331,,,,,,OK
50,202410,001-S05,PSIZ2331,B-100,SISO2047,,,,,,OK
51,202410,001-S05,PSIZ2331,C-100,PSIC2332,,,,,,OK
52,202410,001-S05,PSIZ2331,D-100,PSIZ3883,,,,,,OK
53,202410,001-S06,PSIC2883,A-100,PSIC2883,,,,,,OK
54,202410,001-S06,PSIC2883,B-100,TESI2020,,,,,,OK
55,202410,001-S06,PSIC3802,A-100,PSIC3802,,,,,,OK
56,202410,001-S06,PSIC3802,B-100,SISO2038,,,,,,OK
57,202410,001-S06,PSIC8007,A-100,PSIC8007,,,,,,OK
58,202410,001-S06,PSIC8007,B-100,PSIC2551,,,,,,OK
59,202410,001-S06,PSIC8007,B-100,PSIC2282,,,,,,OK
60,202410,001-S06,PSIC8007,C-100,SIGE2010,,,,,,OK
61,202410,001-S06,PSIC8008,A-100,PSIC8008,,,,,,OK
62,202410,001-S06,PSIC8008,B-100,PSIC2886,,,,,,OK
63,202410,001-S06,PSIC8008,C-100,SIGE2336,,,,,,OK
64,202410,001-S06,PSIC8008,C-100,SIGE2319,,,,,,OK
