,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202210,201-23-S02,COIM2110,A-100,COIM2110,,,,,,OK
1,202210,201-23-S02,COIM2120,A-100,COIM2120,,,,,,OK
2,202210,201-23-S02,FGHZ0000,A-100,FGHZ0110,,,,,,OK
3,202210,201-23-S02,FGHZ0000,B-100,FGHZ0120,,,,,,OK
4,202210,201-23-S02,FGHZ0000,C-100,FGHZ0160,,,,,,OK
5,202210,201-23-S02,FGHZ0000,D-100,FGHZ0170,,,,,,OK
6,202210,201-23-S02,FGHZ0000,E-100,FGHZ0180,,,,,,OK
7,202210,201-23-S02,FGHZ0000,F-100,FGHZ0220,,,,,,OK
8,202210,201-23-S02,FGHZ0000,G-100,FGHZ0810,,,,,,OK
9,202210,201-23-S02,FGHZ0000,H-100,FGHZ0910,,,,,,OK
10,202210,201-23-S02,FGHZ0000,H-100,FGHZ0000,,,,,,OK
11,202210,201-23-S02,FGHZ0000,I-100,FGHZ0920,,,,,,OK
12,202210,201-23-S02,FGHZ0000,J-100,FGHZ0930,,,,,,OK
13,202210,201-23-S02,FGHZ0000,K-100,FGHZ0940,,,,,,OK
14,202210,201-23-S02,INGZ0020,A-100,INGZ0020,,,,,,OK
15,202210,201-23-S02,INGZ0020,B-100,INGZ0030,,,,,,OK
16,202210,201-23-S02,INGZ0020,C-100,INGZ0040,,,,,,OK
17,202210,201-23-S02,INGZ0020,D-100,INGZ0050,,,,,,OK
18,202210,201-23-S02,INGZ0020,E-100,INGZ0002,,,,,,OK
19,202210,201-23-S02,INGZ0020,F-100,INGZ0111,,,,,,OK
20,202210,201-23-S02,INGZ0020,G-100,INGZ0222,,,,,,OK
21,202210,201-23-S02,INGZ0020,H-100,INGZ0333,,,,,,OK
22,202210,201-23-S02,INGZ0020,I-100,INGZ0444,,,,,,OK
23,202210,201-23-S02,INGZ0020,J-100,INGZ0200,,,,,,OK
24,202210,201-23-S02,INGZ0020,K-100,,ENGC,3.0,6.0,,,OK
25,202210,201-23-S02,INGZ0020,L-100,,ENG,2.0,9.0,,,OK
26,202210,201-23-S02,MATZ0320,A-100,MATZ0320,,,,,,OK
27,202210,201-23-S02,MATZ0320,B-100,MATZ0111,,,,,,OK
28,202210,201-23-S02,MATZ0320,C-100,,MAF1,7.0,10.0,,,OK
29,202210,201-23-S02,MEDI1010,A-100,MEDI1010,,,,,,OK
30,202210,201-23-S02,MEDI2020,A-100,MEDI2020,,,,,,OK
31,202210,201-23-S02,MEDI2020,B-100,FCAZ1103,,,,,,OK
32,202210,201-23-S02,MEDI2020,C-100,FCAZ1106,,,,,,OK
33,202210,201-23-S02,NABA0101,A-100,NABA0101,,,,,,OK
34,202210,201-23-S02,NABA0201,A-100,NABA0201,,,,,,OK
35,202210,201-23-S02,RAMZ1020,A-100,RAMZ1020,,,,,,OK
