,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202220,003-61-S08,EDIB0081,A-100,EDIB0081,,,,,,OK
1,202220,003-61-S08,FGHZ0001,A-100,FGHZ0001,,,,,,OK
2,202220,003-61-S08,PRAC0003,A-100,PRAC0003,,,,,,OK
3,202220,003-61-S08,PRAC0003,B-100,,A083,6.0,10.0,,,OK
4,202220,003-61-S08,TITA0032,A-100,TITA0032,,,,7.0,,OK
5,202220,003-62-S05,EDIB0011,A-100,EDIB0011,,,,,,OK
6,202220,003-62-S05,EDIB0011,B-100,EDUP4060,,,,,,OK
7,202220,003-62-S05,EDIB0011,C-100,,A068,6.0,10.0,,,OK
8,202220,003-62-S05,EDIB0012,A-100,EDIB0012,,,,,,OK
9,202220,003-62-S05,EDIB0012,B-100,,A079,6.0,10.0,,,OK
10,202220,003-62-S05,EDIB0013,A-100,EDIB0013,,,,,,OK
11,202220,003-62-S05,EDIB0013,B-100,,A076,6.0,10.0,,,OK
12,202220,003-62-S05,FGHZ0922,A-100,FGHZ0922,,,,,,OK
13,202220,003-62-S05,FGHZ0922,B-100,FGHZ0921,,,,,,OK
14,202220,003-62-S05,FGHZ0922,C-100,FGHZ0923,,,,,,OK
15,202220,003-62-S05,FGHZ0922,C-100,FGHZ0957,,,,,,OK
16,202220,003-62-S05,FGHZ0922,D-100,FGHZ0957,,,,,,OK
17,202220,003-62-S05,FGHZ0922,D-100,FGHZ0920,,,,,,OK
18,202220,003-62-S05,INGZ5500,A-100,INGZ5500,,,,,,OK
19,202220,003-62-S05,INGZ5500,B-100,,ENGC,5.0,6.0,,,OK
20,202220,003-62-S05,INGZ5500,C-100,,A227,6.0,10.0,,,OK
21,202220,003-62-S06,EDIB0014,A-100,EDIB0014,,,,,,OK
22,202220,003-62-S06,EDIB0014,B-100,,A077,6.0,10.0,,,OK
23,202220,003-62-S06,EDIB0015,A-100,EDIB0015,,,,,,OK
24,202220,003-62-S06,EDIB0015,B-100,,A080,6.0,10.0,,,OK
25,202220,003-62-S06,EDIB0016,A-100,EDIB0016,,,,,,OK
26,202220,003-62-S06,EDIB0016,B-100,,A065,6.0,10.0,,,OK
27,202220,003-62-S06,FGHZ0954,A-100,FGHZ0954,,,,,,OK
28,202220,003-62-S06,FGHZ0954,B-100,,A094,6.0,10.0,,,OK
29,202220,003-62-S06,INGZ6600,A-100,INGZ6600,,,,,,OK
30,202220,003-62-S06,INGZ6600,B-100,,ENGC,5.0,6.0,,,OK
31,202220,003-62-S06,INGZ6600,C-100,,A228,6.0,10.0,,,OK
32,202220,003-62-S06,TEFL0010,A-100,TEFL0010,,,,,,OK
33,202220,003-62-S06,TEFL0010,B-100,,A229,6.0,10.0,,,OK
34,202220,003-62-S07,EDIB0017,A-100,EDIB0017,,,,,,OK
35,202220,003-62-S07,EDIB0017,B-100,,A078,6.0,10.0,,,OK
36,202220,003-62-S07,EDIB0018,A-100,EDIB0018,,,,,,OK
37,202220,003-62-S07,EDIB0018,B-100,,A067,6.0,10.0,,,OK
38,202220,003-62-S07,INGZ7700,A-100,INGZ7700,,,,,,OK
39,202220,003-62-S07,INGZ7700,B-100,,ENGC,5.0,6.0,,,OK
40,202220,003-62-S07,INGZ7700,C-100,,A231,6.0,10.0,,,OK
41,202220,003-62-S07,TEFL0020,A-100,TEFL0020,,,,,,OK
42,202220,003-62-S07,TEFL0020,B-100,,A230,6.0,10.0,,,OK
43,202220,003-62-S07,TITA0031,A-100,TITA0031,,,,7.0,,OK
44,202220,003-62-S07,TITA0031,B-100,,A081,6.0,10.0,,,OK
45,202220,003-62-S08,FGHZ0001,A-100,FGHZ0001,,,,,,OK
46,202220,003-62-S08,PRAC0003,A-100,PRAC0003,,,,,,OK
47,202220,003-62-S08,PRAC0003,B-100,,A083,6.0,10.0,,,OK
48,202220,003-62-S08,TEFL0030,A-100,TEFL0030,,,,,,OK
49,202220,003-62-S08,TEFL0030,B-100,,A232,6.0,10.0,,,OK
50,202220,003-62-S08,TITA0032,A-100,TITA0032,,,,7.0,,OK
51,202220,014-S01,FGHZ0942,A-100,FGHZ0942,,,,,,OK
52,202220,014-S01,FGHZ0942,B-100,FGHZ0941,,,,,,OK
53,202220,014-S01,FGHZ0942,C-100,FGHZ0943,,,,,,OK
54,202220,014-S01,FGHZ0942,C-100,FGHZ0959,,,,,,OK
55,202220,014-S01,FGHZ0942,D-100,FGHZ0940,,,,,,OK
