,PERIODO,AREA,REGLA,CONECTOR,SIGLA,PRUEBA,TEST_PUNTAJE_MINIMO,TEST_PUNTAJE_MAXIMO,REGLA_PUNTAJE_MINIMO,REGLA_ATRIBUTO,ESTADO
0,202220,003-61-S08,EDIB0081,A-100,EDIB0081,,,,,,OK
1,202220,003-61-S08,FGHZ0001,A-100,FGHZ0001,,,,,,OK
2,202220,003-61-S08,PRAC0003,A-100,PRAC0003,,,,,,OK
3,202220,003-61-S08,PRAC0003,B-100,,A083,6.0,10.0,,,OK
4,202220,003-61-S08,TITA0032,A-100,TITA0032,,,,7.0,,OK
5,202220,003-62-S05,EDIB0011,A-100,EDIB0011,,,,,,OK
6,202220,003-62-S05,EDIB0011,B-100,EDUP4060,,,,,,OK
7,202220,003-62-S05,EDIB0011,C-100,,A068,6.0,10.0,,,OK
8,202220,003-62-S05,EDIB0012,A-100,EDIB0012,,,,,,OK
9,202220,003-62-S05,EDIB0012,B-100,,A079,6.0,10.0,,,OK
10,202220,003-62-S05,EDIB0013,A-100,EDIB0013,,,,,,OK
11,202220,003-62-S05,EDIB0013,B-100,,A076,6.0,10.0,,,OK
12,202220,003-62-S05,FGHZ0922,A-100,FGHZ0922,,,,,,OK
13,202220,003-62-S05,FGHZ0922,B-100,FGHZ0921,,,,,,OK
14,202220,003-62-S05,FGHZ0922,C-100,FGHZ0923,,,,,,OK
15,202220,003-62-S05,FGHZ0922,C-100,FGHZ0957,,,,,,OK
16,202220,003-62-S05,FGHZ0922,D-100,FGHZ0957,,,,,,OK
17,202220,003-62-S05,FGHZ0922,D-100,FGHZ0920,,,,,,OK
18,202220,003-62-S05,INGZ5500,A-100,INGZ5500,,,,,,OK
19,202220,003-62-S05,INGZ5500,B-100,,ENGC,5.0,6.0,,,OK
20,202220,003-62-S05,INGZ5500,C-100,,A227,6.0,10.0,,,OK
21,202220,003-62-S06,EDIB0014,A-100,EDIB0014,,,,,,OK
22,202220,003-62-S06,EDIB0014,B-100,,A077,6.0,10.0,,,OK
