,period,subject_code,status,banner,odoo
0,202510,AQTH1103,OK,,
1,202510,AQTT2663,Fail,( ( FADT2668 6.0 O A163 6 ) A ( FADR2116 6.0 O A118 6 ) ) O DUMZ0000 6.0 O ( ( FADT2668 6.0 O A163 6 ) A ARQU0001 6.0 ) O ( TADZ1020 6.0 A TEXP2030 6.0 ),( ( FADT2668 6.0 O A163 6 ) A ( FADR2116 6.0 O A118 6 ) ) O DUMZ0000 6.0 O ( ( FADT2668 6.0 O A163 6 )
2,202510,AQTT2665,OK,,
3,202510,AQTT2666,OK,,
4,202510,AQTT3678,OK,,
5,202510,AQTT3688,OK,,
6,202510,AQTT4678,OK,,
7,202510,AQTU2209,OK,,
8,202510,ARQI0003,OK,,
9,202510,ARQI0007,OK,,
